model,n_races,top1,top1_ci_low,top1_ci_high,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier
fitted_budget,44.0,0.75,0.6055943363742099,0.8542578617292199,0.8636363636363636,0.7779343651572848,0.717905984624251,3.74700956937799,1.3758551874930436,0.022764052502093304
incumbent,44.0,0.75,0.6055943363742099,0.8542578617292199,0.8636363636363636,0.7790064241871048,0.7177123186411113,3.7492822966507178,1.1565473997912104,0.024931500937799046
posterior_spread,44.0,0.75,0.6055943363742099,0.8542578617292199,0.8636363636363636,0.7774087733923405,0.7155174289075218,3.7513157894736837,1.5942854997271896,0.03491199297248804
pace_target,44.0,0.75,0.6055943363742099,0.8542578617292199,0.8636363636363636,0.766147739090271,0.7205703867855571,3.738038277511962,1.1738699153813272,0.025490523997009563
rebuilt,44.0,0.75,0.6055943363742099,0.8542578617292199,0.8636363636363636,0.7694097265308849,0.7193455151659486,3.726315789473684,1.5215599423778263,0.034005748371710526
championship,44.0,0.7045454545454546,0.557797998702734,0.8184447088364358,0.8636363636363636,0.762580273344436,0.6921292523266208,3.802153110047847,,
