model,n_races,top1,top1_ci_low,top1_ci_high,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier
championship,12.0,0.4166666666666667,0.19326031362233714,0.6804886875012386,0.75,0.7084564281890772,0.7478879372261726,3.8654521404521405,,
last_race,12.0,0.4166666666666667,0.19326031362233714,0.6804886875012386,0.75,0.6777113392161288,0.6022931102265466,4.58514911014911,,
strength_mc,12.0,0.16666666666666666,0.04696514217115219,0.4480308623231507,0.5833333333333334,0.6074678079080491,0.7783705587498156,3.762999037999038,1.9117157445850692,0.03980802601927008
form5,12.0,0.08333333333333333,0.014865094400000889,0.3538799112178778,0.5,0.4968886377946948,0.6636764186106292,4.304220779220779,,
uniform,12.0,0.0,0.0,0.24249400674145444,0.5833333333333334,0.23268656245395972,-0.09414597485417919,7.25026455026455,3.062500712449868,0.04465137312449724
