outcome,probability_column,n,predicted_mean,observed_rate,ece,brier
winner,win_probability,257,0.04669260700389105,0.04669260700389105,0.01823579766536965,0.03961669309338521
podium,podium_probability,257,0.14007782101167315,0.14007782101167315,0.0506237354085603,0.08371421692607003
top10,top10_probability,257,0.4669260700389105,0.4669260700389105,0.0942124513618677,0.17116840056420232
dnf,dnf_probability,257,0.13980276422617777,0.19455252918287938,0.060917902652147575,0.1538156688618302
finish_inside_p10_p90,finish_p10..finish_p90,257,0.8,0.7898832684824902,0.010116731517509803,
