race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model
2022_01,0.0,0.0,7.0,0.09298245614035087,6.4,0.31336340207752955,20.0,3.899600485429589,0.0625884921875,full
2022_02,0.0,1.0,2.0,0.6967032967032967,3.5789473684210527,0.6326590867483685,19.0,1.6226498064063308,0.04451013651315789,full
2022_03,0.0,0.0,4.0,0.786764705882353,4.9,0.3933089313149787,20.0,1.8140050781753747,0.042800846875000007,full
2022_04,1.0,1.0,1.0,0.5479876160990712,5.6,0.806321454830414,20.0,1.442864712608285,0.03524081718750001,full
2022_05,1.0,1.0,1.0,0.8651960784313727,3.4,0.9854490487855379,20.0,1.1841701770297564,0.029739181249999996,full
2022_06,1.0,1.0,1.0,0.9133126934984519,2.8,0.8802890519931065,20.0,1.2447947988461912,0.030914706249999997,full
2022_07,0.0,1.0,3.0,0.8627450980392157,2.3,0.6759646247415929,20.0,1.8033261055995204,0.044060964062500006,full
2022_08,1.0,1.0,1.0,0.8088235294117646,4.0,0.9028355767502371,20.0,1.091016212046482,0.0279571171875,full
2022_09,1.0,1.0,1.0,0.7377450980392158,3.9,0.8599737919673534,20.0,1.0044391186508599,0.02529256875,full
2022_10,0.0,1.0,2.0,0.7274725274725276,5.0,0.5030453126077012,20.0,1.6182264184671797,0.050256384375000004,full
2022_11,0.0,0.0,5.0,0.8382352941176472,3.6,0.6963737249545335,20.0,4.33323647050445,0.0684842046875,full
2022_12,1.0,1.0,1.0,0.7970588235294117,3.4,0.9233797900342092,20.0,0.6460250734912104,0.0145232671875,full
2022_13,1.0,1.0,1.0,0.78796992481203,2.7,0.9510261813892709,20.0,0.5573059576485322,0.0119074015625,full
2022_14,1.0,1.0,1.0,0.7192982456140351,4.3,0.8042564171934684,20.0,0.680230955293399,0.015525031250000005,full
2022_15,1.0,1.0,1.0,0.7729618163054695,3.0,0.9311429737414604,20.0,0.5471006796307025,0.011631493750000003,full
2022_16,1.0,1.0,1.0,0.7852941176470588,3.6,0.9339092046216405,20.0,0.5713721236340245,0.012047551562500003,full
2022_17,0.0,0.0,6.0,0.35824175824175825,5.0,0.2610817206603437,20.0,3.6544780273966038,0.0644712203125,full
2022_18,1.0,1.0,1.0,0.6243550051599587,3.9,0.8924396175890481,20.0,0.7447036674743475,0.018193014062500006,full
2022_19,1.0,1.0,1.0,0.8014705882352942,3.6,0.9228329600513825,20.0,0.7929675158421562,0.0187200375,full
2022_20,1.0,1.0,1.0,0.7456140350877193,2.8,0.8861952434874656,20.0,0.7582191773036601,0.017615212499999998,full
2022_21,0.0,0.0,6.0,0.8431372549019609,3.8,0.2711632248823574,20.0,3.2033716383322353,0.060375809375,full
2022_22,1.0,1.0,1.0,0.6859649122807018,3.7,0.9443051637828295,20.0,0.7697582829317857,0.01778201875,full
2023_01,1.0,1.0,1.0,0.5931372549019609,5.1,0.8706688760729636,20.0,0.676044272660283,0.01512576875,full
2023_02,0.0,0.0,4.0,0.7585139318885449,3.1,0.6296241243692887,20.0,2.2027397580243298,0.053178403124999996,full
2023_03,1.0,1.0,1.0,0.5710784313725491,5.1,0.8157572538274883,20.0,0.8181436707346306,0.018899379687500002,full
2023_04,0.0,1.0,2.0,0.7791537667698658,3.2,0.8341629842127403,20.0,1.8913035995644414,0.050824328125,full
2023_05,1.0,1.0,1.0,0.7699248120300751,2.8,0.8959703846195658,20.0,0.7460206701670135,0.016815053124999993,full
2023_06,1.0,1.0,1.0,0.6140350877192983,4.3,0.806321454830414,20.0,0.8506785685466812,0.0198358859375,full
2023_07,1.0,1.0,1.0,0.7218045112781954,3.3,0.7184486708452613,20.0,0.8680959830244869,0.0197240953125,full
2023_08,1.0,1.0,1.0,0.7729618163054695,2.9,0.7852032916936653,20.0,0.780886094867952,0.017085278125000002,full
2023_09,1.0,1.0,1.0,0.819298245614035,3.0,0.8529418003742321,20.0,0.48939034304592566,0.008847821875,full
2023_10,1.0,1.0,1.0,0.6676986584107326,4.0,0.7385162258326089,20.0,0.44706865796323975,0.007759671875000001,full
2023_11,1.0,1.0,1.0,0.8328173374613003,3.1,0.7074940474507528,20.0,0.4231200433468851,0.007130873437499999,full
2023_12,1.0,1.0,1.0,0.8864809081527348,3.3,0.812732070818194,20.0,0.3965673111725533,0.0064006390625,full
2023_13,1.0,1.0,1.0,0.6960784313725491,3.3,0.7140494103307808,20.0,0.43676229546593376,0.007283740625000002,full
2023_14,1.0,1.0,1.0,0.7853457172342622,3.1578947368421053,0.9685757681110965,19.0,0.28684908614788907,0.0038266414473684205,full
2023_15,0.0,1.0,2.0,0.5117647058823529,4.526315789473684,0.6104269873468817,19.0,2.511764103957883,0.06845843585526316,full
2023_16,1.0,1.0,1.0,0.8428571428571429,4.1,0.8391853250139395,20.0,0.49860888625606997,0.009281201562499999,full
