model,n_races,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,top1_delta_vs_full,top1_ci_low,top1_ci_high,ndcg5_delta_vs_full,ndcg5_ci_low,ndcg5_ci_high,spearman_delta_vs_full,spearman_ci_low,spearman_ci_high,rank_mae_delta_vs_full,rank_mae_ci_low,rank_mae_ci_high
full,92.0,0.5108695652173914,0.8043478260869565,2.239130434782609,0.7069281105330709,3.7407958301550983,0.7378989048759399,19.847826086956523,1.4493262282810904,0.03284801536070986,,,,,,,,,,,,
no_circuit,92.0,0.5108695652173914,0.8043478260869565,2.239130434782609,0.7065774897355529,3.7430269514365624,0.7365170048284303,19.847826086956523,1.4371552029709878,0.03258336596407799,0.0,0.0,0.0,0.001381900047509614,0.0,0.004145700142528842,0.0003506207975180934,-0.0001698619951413033,0.0009489997371946555,-0.0022311212814645257,-0.008752860411899295,0.004290617848970239
no_reliability,92.0,0.5,0.8152173913043478,2.25,0.7063888387602885,3.7398232901093316,0.7351226547787981,19.847826086956523,1.4700291281814426,0.03332530745544511,0.010869565217391304,0.0,0.03260869565217391,0.00277625009714168,-0.0008784510701781323,0.008924811002837891,0.000539271772782339,-0.0009986643398778264,0.0021719640373311774,0.0009725400457665862,-0.009954233409610986,0.011899313501144159
strength_only,92.0,0.5,0.8043478260869565,2.260869565217391,0.7064179636825686,3.739702517162472,0.7342066971389373,19.847826086956523,,,0.010869565217391304,0.0,0.03260869565217391,0.003692207737002564,-0.00034157285108485055,0.01041640774316513,0.0005101468505022191,-0.0010253414867090927,0.0021245809536629347,0.0010933129926265133,-0.009841088227815892,0.011905828883803718
no_qualifying,92.0,0.45652173913043476,0.75,2.4782608695652173,0.7113457427505416,3.740134757182812,0.7076450755666449,19.847826086956523,1.5562269148204604,0.03456521698339769,0.05434782608695652,0.0,0.10869565217391304,0.03025382930929493,0.00566448455565145,0.05637744782487304,-0.00441763221747069,-0.01862396830101518,0.010801720496771132,0.000661072972285756,-0.07903206839562678,0.08152396389524531
