outcome,probability_column,n,predicted_mean,observed_rate,ece,brier
winner,win_probability,1726,0.05040556199304751,0.05040556199304751,0.007628621089223638,0.03266045127462341
podium,podium_probability,1726,0.15121668597914253,0.15121668597914253,0.01849073001158748,0.0824648602838934
top10,top10_probability,1726,0.5040556199304751,0.5040556199304751,0.05382195828505215,0.17294973709733488
dnf,dnf_probability,1726,0.12043168522315506,0.12398609501738123,0.035234331587341405,0.11158978308205636
finish_inside_p10_p90,finish_p10..finish_p90,1726,0.8,0.7983777520278099,0.0016222479721901273,
