model,n_races,top1,top1_ci_low,top1_ci_high,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier
strength_mc,12.0,0.6666666666666666,0.39062208881531185,0.8618799089375366,0.9166666666666666,0.8024681081876234,0.8382801602422346,3.2163660413660415,1.2037297823478113,0.024815783881192877
grid_reference_post_quali,12.0,0.6666666666666666,0.39062208881531185,0.8618799089375366,0.9166666666666666,0.8100141460901106,0.7979299445824214,3.2692400192400193,,
last_race,12.0,0.4166666666666667,0.19326031362233714,0.6804886875012386,0.75,0.6777113392161288,0.6022931102265466,4.58514911014911,,
championship,12.0,0.4166666666666667,0.19326031362233714,0.6804886875012386,0.75,0.7084564281890772,0.7478879372261726,3.8654521404521405,,
form5,12.0,0.08333333333333333,0.014865094400000889,0.3538799112178778,0.5,0.4968886377946948,0.6636764186106292,4.304220779220779,,
uniform,12.0,0.0,0.0,0.24249400674145444,0.5833333333333334,0.23268656245395972,-0.09414597485417919,7.25026455026455,3.062500712449868,0.04465137312449724
