outcome,probability_column,n,predicted_mean,observed_rate,ece,brier
winner,win_probability,257,0.04669260700389105,0.04669260700389105,0.01780778210116732,0.025108696673151753
podium,podium_probability,257,0.14007782101167315,0.14007782101167315,0.04766614785992218,0.06712937110894941
top10,top10_probability,257,0.4669260700389105,0.4669260700389105,0.08495291828793775,0.1538312935603113
dnf,dnf_probability,257,0.13980276422617777,0.19455252918287938,0.060917902652147575,0.1538156688618302
finish_inside_p10_p90,finish_p10..finish_p90,257,0.8,0.7976653696498055,0.0023346303501945442,
