model,n_races,top1,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier,top1_wins,top1_ci_low,top1_ci_high
grid_reference_post_quali,92.0,0.5543478260869565,0.8695652173913043,0.7957128329224309,0.7290678958610377,3.4404271548436314,2.9878966208549858,0.04786203354283667,51,0.4526370596760886,0.6517019197474246
strength_mc,92.0,0.5108695652173914,0.7934782608695652,0.7371820116957204,0.7066744084537531,3.734324942791762,1.442262976928776,0.03280670633552631,47,0.41035492103893123,0.6105128748457715
form5,92.0,0.4673913043478261,0.7065217391304348,0.6939335470357838,0.6630276969967709,3.9795512331553518,2.9878966208549858,0.04786203354283667,43,0.36880117931256745,0.5685954330333247
championship,92.0,0.45652173913043476,0.7717391304347826,0.6912235587079978,0.6702690229409842,3.93649885583524,2.9878966208549858,0.04786203354283667,42,0.35852667214356265,0.5580021443176268
last_race,92.0,0.40217391304347827,0.6956521739130435,0.6697108108949783,0.5338141087274552,4.363927027714213,2.9878966208549858,0.04786203354283667,37,0.307849587905785,0.5043402491318915
