team_hl,driver_hl,top1,top3,ndcg5,spearman,rank_mae
4.5,25.0,0.532608695652174,0.7934782608695652,0.7261187942042124,0.6979618008970883,3.84932621408594
6.0,25.0,0.532608695652174,0.7608695652173914,0.7208533956614649,0.6996841805724227,3.8447495550470374
6.0,40.0,0.532608695652174,0.7282608695652174,0.7057364260260128,0.6938083484582003,3.8777015001271296
9.0,25.0,0.532608695652174,0.7717391304347826,0.7194923508296541,0.6979292306607556,3.8198639715230107
9.0,40.0,0.5217391304347826,0.75,0.7083607993143152,0.6932655111859917,3.8551042461225533
4.5,40.0,0.5217391304347826,0.7391304347826086,0.7083862218771466,0.6912413645268,3.885596236969235
4.5,15.0,0.5108695652173914,0.7717391304347826,0.7163708884415975,0.7062618459635218,3.775012712941774
9.0,15.0,0.5108695652173914,0.7608695652173914,0.7083994913670458,0.7019863837983706,3.7892448512585806
2.0,25.0,0.5,0.7717391304347826,0.7142921042471583,0.6905405944282308,3.8861746758199853
4.5,10.0,0.5,0.7934782608695652,0.7263357471685705,0.7058086392451719,3.742976099669464
6.0,15.0,0.5,0.782608695652174,0.7106107075611507,0.705060266493501,3.779068141367912
6.0,10.0,0.5,0.782608695652174,0.7266977372419198,0.7052259682256989,3.7515001271294177
6.0,6.0,0.5,0.8043478260869565,0.7335272723105121,0.7051121619216248,3.746580218662599
9.0,10.0,0.5,0.7934782608695652,0.7221585669124785,0.704316127965004,3.7680205949656753
3.0,25.0,0.5,0.7717391304347826,0.7136843351138211,0.6954024163793311,3.8638571065344522
3.0,10.0,0.5,0.8043478260869565,0.732164013015062,0.706373895712131,3.7598525298754133
2.0,6.0,0.4891304347826087,0.7391304347826086,0.7304813204972413,0.702441433359121,3.783199847444698
2.0,10.0,0.4891304347826087,0.782608695652174,0.7271289629777197,0.7049961398923237,3.7885710653445206
3.0,40.0,0.4891304347826087,0.7282608695652174,0.7047576883575688,0.6872861070145361,3.8942346809051616
3.0,15.0,0.4891304347826087,0.7717391304347826,0.7116472545408681,0.7034580537020301,3.8137426900584788
3.0,6.0,0.4891304347826087,0.7608695652173914,0.7350111473548749,0.7043801066457211,3.76191202644292
4.5,6.0,0.4891304347826087,0.7717391304347826,0.7312873342982517,0.7036759528666245,3.756076786168319
9.0,6.0,0.4891304347826087,0.7934782608695652,0.7279380002057073,0.7015825332069108,3.7662344266463252
2.0,15.0,0.4782608695652174,0.782608695652174,0.7142054926878469,0.6991886716841286,3.834566488685482
2.0,40.0,0.4782608695652174,0.7282608695652174,0.6958095774137896,0.6820360647339381,3.916259852529876
