driver_id,driver_code,constructor_id,season,round,race_id,circuit_id,team_effect,driver_effect,driver_obs_weight,is_rookie,strength,dnf_probability,strength_sd,win_probability,podium_probability,top10_probability,dnf_probability_sim,expected_finish,expected_finish_if_classified,pole_probability,finish_p10,finish_p50,finish_p90,pace_rank_score,predicted_rank,stage,score,market_probability,implied_raw,overround,edge_pp,model_rank,market_rank,rank_disagreement
antonelli,ANT,mercedes,2026,14,2026_14,madring,1.2110172612607255,0.5592933592165436,12.44634966608714,False,1.7703106204772694,0.0629167255707911,0.0873992903944133,0.27959,0.62615,0.91954,0.07931,4.03122,2.914879058097731,0.25144,1,3,8,-2.914879058097731,1,PRE_WEEKEND,-2.914879058097731,0.29644324954117685,0.36363636363636365,1.2266643419918843,-1.685324954117684,1.0,1.0,0.0
russell,RUS,mercedes,2026,14,2026_14,madring,1.2110172612607255,0.4701313224116212,11.773900040337228,False,1.681148583672347,0.1357243280253666,0.0913773611784356,0.19474,0.50186,0.82844,0.16942,5.63114,3.296070215993643,0.20166,1,3,17,-3.296070215993643,2,PRE_WEEKEND,-3.296070215993643,0.14822162477058842,0.18181818181818182,1.2266643419918843,4.6518375229411575,2.0,3.0,-1.0
norris,NOR,mclaren,2026,14,2026_14,madring,1.0571496177307265,0.5256028084730742,11.717194454785744,False,1.5827524262038006,0.1462692191805058,0.0917294396121134,0.14683,0.43416,0.8167,0.1798,6.10505,3.679578151670324,0.1542,1,4,17,-3.679578151670324,3,PRE_WEEKEND,-3.679578151670324,0.1918162202913497,0.23529411764705882,1.2266643419918843,-4.498622029134972,3.0,2.0,1.0
hamilton,HAM,ferrari,2026,14,2026_14,madring,1.0765424407125797,0.4340408437373968,12.496136980701706,False,1.5105832844499765,0.0683647289277621,0.0871184864770644,0.1367,0.4408,0.90939,0.08438,5.03892,3.9219982088639394,0.12541,1,4,9,-3.9219982088639394,4,PRE_WEEKEND,-3.9219982088639394,0.10190236702977953,0.125,1.2266643419918843,3.4797632970220453,4.0,4.0,0.0
leclerc,LEC,ferrari,2026,14,2026_14,madring,1.0765424407125797,0.3591846540155555,11.467404495668848,False,1.435727094728135,0.169285895380035,0.0933132131892872,0.09222,0.32606,0.78333,0.20896,7.023,4.306520529935275,0.10075,2,5,18,-4.306520529935275,5,PRE_WEEKEND,-4.306520529935275,0.09057988180424847,0.1111111111111111,1.2266643419918843,0.1640118195751522,5.0,5.0,0.0
piastri,PIA,mclaren,2026,14,2026_14,madring,1.0571496177307265,0.3154484312560502,11.548555114401838,False,1.3725980489867766,0.1317984756632944,0.0927927199219676,0.07922,0.30816,0.82671,0.1629,6.63556,4.551367817465058,0.08249,2,5,17,-4.551367817465058,6,PRE_WEEKEND,-4.551367817465058,0.06793491135318636,0.08333333333333333,1.2266643419918843,1.1285088646813644,6.0,7.0,-1.0
max_verstappen,VER,red_bull,2026,14,2026_14,madring,0.7319342813455614,0.5741566262560028,11.173977081300231,False,1.3060909076015643,0.1961409174107798,0.0952449684556819,0.05795,0.23994,0.74169,0.24455,7.96401,4.886663577999868,0.06811,2,6,18,-4.886663577999868,7,PRE_WEEKEND,-4.886663577999868,0.07411081238529421,0.09090909090909091,1.2266643419918843,-1.616081238529421,7.0,6.0,1.0
lawson,LAW,red_bull,2026,14,2026_14,madring,0.7319342813455614,0.0759990657393072,12.204398152549285,False,0.8079333470848686,0.154369961555314,0.0887900978687307,0.0092,0.06736,0.72319,0.19373,9.21024,7.127451101988168,0.01088,4,8,18,-7.127451101988168,8,PRE_WEEKEND,-7.127451101988168,0.005398800902239975,0.006622516556291391,1.2266643419918843,0.38011990977600246,8.0,8.0,0.0
arvid_lindblad,LIN,rb,2026,14,2026_14,madring,0.3367336025100351,0.1698922526772669,11.14188516160393,False,0.506625855187302,0.044774468382637,0.0954611061094833,0.00212,0.02751,0.74509,0.05566,8.92518,8.385147298642439,0.00277,5,8,13,-8.385147298642439,9,PRE_WEEKEND,-8.385147298642439,0.0020329649282749035,0.0024937655860349127,1.2266643419918843,0.008703507172509641,9.0,9.0,0.0
gasly,GAS,alpine,2026,14,2026_14,madring,0.1029685935321512,0.2253633577867579,12.285588065412885,False,0.3283319513189092,0.0864093580706008,0.0883184862906702,0.00056,0.01242,0.61155,0.1061,10.19497,9.235473766640563,0.00101,6,10,16,-9.235473766640563,10,PRE_WEEKEND,-9.235473766640563,0.0020329649282749035,0.0024937655860349127,1.2266643419918843,-0.14729649282749036,10.0,9.0,1.0
