model,n_races,top1,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier,top1_wins,top1_ci_low,top1_ci_high
grid_reference_post_quali,13.0,0.6923076923076923,0.9230769230769231,0.8202831537374031,0.7901002506265666,3.1928515928515933,3.0646962309812866,0.04455422363431023,9,0.4236934317473361,0.873192963469266
strength_mc,13.0,0.6923076923076923,0.9230769230769231,0.8097180427060968,0.8333713242381973,3.1325674325674333,1.1362328677637732,0.023787100379148628,9,0.4236934317473361,0.873192963469266
championship,13.0,0.46153846153846156,0.6923076923076923,0.6553319219228011,0.6611775479422538,4.106870906870907,3.0646962309812866,0.04455422363431023,6,0.2320606780553453,0.7085620429013344
last_race,13.0,0.38461538461538464,0.6923076923076923,0.642454488774746,0.570851052971796,4.638084138084138,3.0646962309812866,0.04455422363431023,5,0.1770970779442661,0.6447710849257727
form5,13.0,0.07692307692307693,0.5384615384615384,0.4956217865923511,0.6522048900531873,4.187223887223887,3.0646962309812866,0.04455422363431023,1,0.013710421238024628,0.33313950928545055
