race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model
2022_01,0.0,0.0,9.0,-0.02456140350877193,7.3,0.059329575373079375,20.0,2.995732273553991,0.04749999999999999,championship
2022_02,0.0,0.0,15.0,0.2703296703296703,5.157894736842105,0.4348368705750462,19.0,2.9444389791664407,0.04986149584487534,championship
2022_03,1.0,1.0,1.0,0.6053921568627452,4.8,0.7706642043132272,20.0,2.995732273553991,0.04749999999999999,championship
2022_04,0.0,0.0,6.0,0.5232198142414861,5.1,0.18300657198870862,20.0,2.995732273553991,0.04749999999999999,championship
2022_05,0.0,1.0,2.0,0.8112745098039217,3.4,0.8557493635975221,20.0,2.995732273553991,0.04749999999999999,championship
2022_06,0.0,1.0,2.0,0.8493292053663571,3.1,0.6843159707747805,20.0,2.995732273553991,0.04749999999999999,championship
2022_07,0.0,1.0,3.0,0.8112745098039217,3.1,0.6709982431534356,20.0,2.995732273553991,0.04749999999999999,championship
2022_08,1.0,1.0,1.0,0.7588235294117647,4.7,0.9095565943566785,20.0,2.995732273553991,0.04749999999999999,championship
2022_09,1.0,1.0,1.0,0.6936274509803922,3.9,0.8455834752161457,20.0,2.995732273553991,0.04749999999999999,championship
2022_10,0.0,0.0,5.0,0.7494505494505495,4.7,0.5029570677129819,20.0,2.995732273553991,0.04749999999999999,championship
2022_11,0.0,1.0,3.0,0.6960784313725491,4.5,0.6936589879391979,20.0,2.995732273553991,0.04749999999999999,championship
2022_12,1.0,1.0,1.0,0.8205882352941177,3.4,0.7865767672473016,20.0,2.995732273553991,0.04749999999999999,championship
2022_13,1.0,1.0,1.0,0.7804511278195487,2.8,0.7816188277077358,20.0,2.995732273553991,0.04749999999999999,championship
2022_14,1.0,1.0,1.0,0.7523219814241485,4.3,0.8718133983683809,20.0,2.995732273553991,0.04749999999999999,championship
2022_15,1.0,1.0,1.0,0.8431372549019607,2.9,0.9112291948547362,20.0,2.995732273553991,0.04749999999999999,championship
2022_16,1.0,1.0,1.0,0.788235294117647,3.7,0.9349835552308554,20.0,2.995732273553991,0.04749999999999999,championship
