feature_set,top1,wins,n_races,wilson95_low,wilson95_high
GRID_BASELINE_RECOMPUTED,0.6666666666666666,16,24,0.4670631683813174,0.8202780967270225
GRID_BASELINE_NO_ML,0.6666666666666666,16,24,0.4670631683813174,0.8202780967270225
GRID_ONLY,0.6666666666666666,16,24,0.4670631683813174,0.8202780967270225
PRE_WEEKEND_FORM,0.25,6,24,0.11999366228595004,0.44899444005154004
PRE_WEEKEND_PLUS_CIRCUIT,0.25,6,24,0.11999366228595004,0.44899444005154004
QUALI_ONLY,0.6666666666666666,16,24,0.4670631683813174,0.8202780967270225
QUALI_PLUS_FORM,0.625,15,24,0.42709962442674276,0.7884063244045122
FULL_STRICT_PRE_RACE,0.5416666666666666,13,24,0.3507486535891948,0.72108666268789
POST_PRACTICE_FULL,0.7083333333333334,17,24,0.5083230633550337,0.8508535180303913
