cross_regime,driver_shrinkage,top1,top3,ndcg5,spearman,rank_mae,winner_logloss
0.35,6.0,0.6363636363636364,0.8181818181818182,0.7486330721415214,0.7175584735182258,3.889952153110048,1.531662096327154
0.35,3.0,0.6363636363636364,0.8181818181818182,0.7449821619631294,0.7164702428634316,3.8808612440191386,1.5364472639969748
0.35,0.5,0.6363636363636364,0.7727272727272727,0.7449141187985556,0.7194619492994107,3.894019138755981,1.5837305793816248
0.35,1.5,0.6363636363636364,0.7727272727272727,0.7449141187985556,0.7181556575519424,3.8849282296650727,1.5570302653010424
0.2,6.0,0.5454545454545454,0.7727272727272727,0.7304278810815483,0.7157611351496801,3.894976076555024,1.5429805001242036
0.02,6.0,0.5,0.7272727272727273,0.7330686409347781,0.7086486784629199,3.9303827751196163,1.600664928765856
0.02,3.0,0.5,0.7272727272727273,0.7329805882052276,0.7078043215814114,3.9483253588516747,1.6255469268075693
0.02,1.5,0.5,0.7272727272727273,0.7328060163193459,0.7089941920824273,3.9437799043062203,1.6534351645955694
0.08,6.0,0.5,0.7727272727272727,0.7288375784408031,0.7184882455006295,3.8990430622009566,1.5684306293173405
0.08,3.0,0.5,0.7727272727272727,0.72644260766176,0.7142077349894688,3.917464114832536,1.582476126780949
0.2,0.5,0.5,0.8181818181818182,0.7240253283804641,0.720625891136727,3.8851674641148324,1.5846301126836233
0.2,1.5,0.5,0.7727272727272727,0.7225715850469306,0.7193172668404867,3.8806220095693784,1.5629367849777844
0.02,0.5,0.5,0.7272727272727273,0.7211265254725127,0.7025469112930413,3.9944976076555023,1.688262504530745
0.08,1.5,0.5,0.7727272727272727,0.7209293909948377,0.7116490836305078,3.935167464114832,1.5981127960490182
0.2,3.0,0.5,0.7727272727272727,0.7200839356731178,0.7156360796066679,3.885645933014354,1.5528030430955633
0.0,1.5,0.5,0.7727272727272727,0.7197166894195344,0.6865128163889774,4.027511961722488,1.7045209265079506
0.0,3.0,0.5,0.7727272727272727,0.7191937405484995,0.6856476212126368,4.022966507177032,1.668516603465636
0.0,6.0,0.5,0.7272727272727273,0.7189762924777574,0.6845179974823937,4.004306220095693,1.6457422251839058
0.08,0.5,0.5,0.7727272727272727,0.7105139285250973,0.7092249597667556,3.939712918660287,1.6221915253958918
0.0,0.5,0.5,0.7727272727272727,0.7082537956345045,0.6833445708058711,4.045693779904306,1.7537748719953747
