outcome,probability_column,n,predicted_mean,observed_rate,ece,brier
winner,win_probability,279,0.04659498207885305,0.04659498207885305,0.018718637992831546,0.02372574068100359
podium,podium_probability,279,0.13978494623655913,0.13978494623655913,0.03714301075268817,0.06898318677419356
top10,top10_probability,279,0.4659498207885305,0.4659498207885305,0.06986129032258064,0.15138299193548388
dnf,dnf_probability,279,0.13853148271232965,0.17562724014336917,0.04476529831967852,0.1396714795592703
finish_inside_p10_p90,finish_p10..finish_p90,279,0.8,0.8207885304659498,0.02078853046594975,
