circuit_id,grid_finish_spearman,mean_abs_position_change,n_races,overtaking_difficulty,dnf_multiplier,circuit_dnf_rate,is_street
suzuka,0.9157894736842105,1.95,7,0.98,0.9857949235542597,0.12779805087497395,False
jeddah,0.894736842105263,2.1666666666666665,5,0.9230769230769231,1.1364194812118964,0.147324956951085,True
monaco,0.8807533539731682,2.258169934640523,8,0.8846153846153846,1.0040977255901242,0.13017081864831626,True
catalunya,0.9087719298245613,2.4705882352941178,9,0.8461538461538463,0.868046612931432,0.1125332080239242,False
zandvoort,0.8485533687159075,2.3676470588235294,6,0.8076923076923077,0.9306519863604619,0.12064934304081296,False
shanghai,0.8553921568627452,2.5,5,0.75,0.9694624458016691,0.12568071513620346,False
marina_bay,0.8137844611528822,2.4210526315789473,6,0.7307692307692308,0.9446819158030818,0.12246817735801113,True
ricard,0.8203007518796992,2.4246323529411766,4,0.7307692307692307,0.8374740663900415,0.10856979558902635,False
rodriguez,0.8350877192982457,2.625,7,0.6730769230769231,0.9331150786097682,0.12096865731304686,False
hungaroring,0.787719298245614,2.6315789473684212,9,0.5769230769230769,0.8647334579202433,0.11210369196276418,False
baku,0.8771929824561402,3.0625,7,0.5769230769230769,1.170067898906073,0.15168712406474644,True
miami,0.8052631578947368,2.789473684210526,5,0.5576923076923077,0.948155578860973,0.12291850161672646,True
yas_marina,0.7661654135338346,2.6157894736842104,8,0.5384615384615384,0.818851021719127,0.10615551169139839,False
red_bull_ring,0.780701754385965,2.736842105263158,11,0.5,1.0089604499524407,0.13080122024665852,False
albert_park,0.7843137254901962,2.8823529411764706,7,0.4807692307692308,1.2810777013584949,0.16607838947143477,True
spa,0.7228070175438598,2.9,9,0.3653846153846154,0.8089378547240902,0.10487037277488205,False
silverstone,0.7361971104231166,3.0248538011695905,10,0.3653846153846154,1.0885200553250347,0.1411152949614488,False
villeneuve,0.7852941176470588,3.466666666666667,7,0.30769230769230765,1.1298698860329321,0.14647587010970234,True
bahrain,0.7230392156862746,3.3125,9,0.28846153846153844,0.9010533035429301,0.1168121819009393,False
sochi,0.6934984520123839,3.0198412698412698,4,0.28846153846153844,0.9821058091286307,0.12731979558902634,True
losail,0.718266253869969,3.3986928104575167,4,0.23076923076923075,1.0367963673373521,0.1344098571965045,False
americas,0.6970588235294117,3.4375,7,0.18269230769230768,1.0298189362504715,0.13350530588292825,False
monza,0.6298245614035087,3.2,9,0.1730769230769231,1.0534452650635224,0.13656821349129042,False
interlagos,0.6838235294117648,3.4375,7,0.14423076923076922,1.0440560644013996,0.13535100135596412,False
imola,0.6676986584107326,3.5555555555555554,5,0.07692307692307691,1.00154449054864,0.12983981830135677,False
vegas,0.3928571428571428,4.8,3,0.02,1.0122110254890337,0.13122262353031583,True
hockenheimring,0.1455720749838397,5.566964285714286,2,,1.3094744121715076,0.16975972745203513,False
istanbul,0.4596417514374171,4.7,2,,0.866731754942641,0.11236275037180014,False
mugello,0.9160839160839163,3.1666666666666665,1,,1.4170954356846475,0.18371167294244217,False
nurburgring,0.7464285714285712,4.133333333333334,1,,1.1856846473029046,0.15371167294244217,False
portimao,0.8535087719298244,2.3421052631578947,2,,0.7952282157676348,0.10309306078536846,False
