outcome,probability_column,n,predicted_mean,observed_rate,ece,brier
winner,win_probability,279,0.04659498207885305,0.04659498207885305,0.0077788530465949845,0.03980966612903226
podium,podium_probability,279,0.13978494623655913,0.13978494623655913,0.05242114695340502,0.08754765198924733
top10,top10_probability,279,0.4659498207885305,0.4659498207885305,0.0646483870967742,0.1641579874014337
dnf,dnf_probability,279,0.13853148271232965,0.17562724014336917,0.04476529831967852,0.1396714795592703
finish_inside_p10_p90,finish_p10..finish_p90,279,0.8,0.8172043010752689,0.017204301075268824,
