model,n_races,top1,top1_ci_low,top1_ci_high,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier
championship,13.0,0.38461538461538464,0.1770970779442661,0.6447710849257727,0.6923076923076923,0.6509396244525535,0.6875874641354518,3.975335775335775,,
last_race,13.0,0.38461538461538464,0.1770970779442661,0.6447710849257727,0.6923076923076923,0.642454488774746,0.570851052971796,4.638084138084138,,
strength_mc,13.0,0.15384615384615385,0.04325817834639353,0.4223463102637225,0.5384615384615384,0.5970793650230912,0.770986856280974,3.7888666888666886,1.8988584973521332,0.04005857683757908
form5,13.0,0.07692307692307693,0.013710421238024628,0.33313950928545055,0.5384615384615384,0.4956217865923511,0.6522048900531873,4.187223887223887,,
uniform,13.0,0.0,0.0,0.22809537243683428,0.5384615384615384,0.22750140351826872,-0.08971126912303386,7.1473859473859465,3.0646962309812866,0.04455422363431023
