race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model,circuit_source
2024_01,1.0,1.0,1.0,0.882706766917293,2.1,0.9339092046216405,20.0,0.28262819814910195,0.0039395465,strength_mc,inferred
2024_02,1.0,1.0,1.0,0.8328173374613003,3.2,0.9487440247445988,20.0,0.29075345097626715,0.004265132,strength_mc,inferred
2024_03,0.0,1.0,2.0,0.7181372549019608,4.2105263157894735,0.6673646635253293,19.0,2.2557015070951953,0.07532550815789475,strength_mc,inferred
2024_04,1.0,1.0,1.0,0.9436274509803922,2.1,0.9635398019965208,20.0,0.3321217138839548,0.005395348999999999,strength_mc,inferred
2024_05,1.0,1.0,1.0,0.9044117647058825,3.0,0.9313912215643528,20.0,0.29370014477734385,0.004388841999999999,strength_mc,inferred
2024_06,0.0,0.0,5.0,0.83859649122807,2.4,0.7274083543301979,20.0,4.150914913710495,0.07505234624999998,strength_mc,inferred
2024_07,1.0,1.0,1.0,0.8280701754385964,2.4,0.9284406285528698,20.0,0.49053292049822833,0.009117337750000003,strength_mc,inferred
2024_08,1.0,1.0,1.0,0.9852941176470588,1.0,0.9915243463752744,20.0,0.44231064422898697,0.0083419875,strength_mc,inferred
2024_09,1.0,1.0,1.0,0.8999999999999999,4.3,0.9497041701169476,20.0,0.6344066855373452,0.015448776000000001,strength_mc,inferred
2024_10,0.0,1.0,2.0,0.9488721804511278,1.4,0.8706231822162195,20.0,1.322193435713367,0.04449291025,strength_mc,inferred
2024_11,0.0,1.0,3.0,0.58796992481203,3.5,0.42755316499830276,20.0,2.9224818118143983,0.0707876925,strength_mc,inferred
2024_12,0.0,0.0,4.0,0.8410732714138286,2.9473684210526314,0.6019670287080054,19.0,2.1434468716557484,0.05366155921052632,strength_mc,inferred
2024_13,0.0,1.0,3.0,0.9017543859649122,1.7,0.5942774680559206,20.0,2.0010001153732735,0.04935385925000001,strength_mc,inferred
2024_14,0.0,1.0,2.0,0.7894736842105263,2.5,0.7343754018771991,20.0,2.097198263269095,0.058253141249999994,strength_mc,inferred
2024_15,1.0,1.0,1.0,0.8676691729323308,2.4,0.9787280311790963,20.0,0.5051749522571762,0.011669570499999997,strength_mc,inferred
2024_16,0.0,0.0,4.0,0.8719298245614034,2.8,0.6356208082242315,20.0,2.4135166537013273,0.05207194,strength_mc,inferred
