feature_set,n_races,top1,winner_top3,spearman,rank_mae,ndcg5,n_features
GRID_BASELINE_NO_ML,24,0.6666666666666666,0.9583333333333334,0.6511173767752715,3.3442982456140355,0.9347028413855795,
GRID_ONLY,24,0.6666666666666666,0.9583333333333334,0.6614766081871345,3.3574561403508767,0.9347028413855795,1.0
PRE_WEEKEND_FORM,24,0.25,0.7083333333333334,0.5451858813700919,4.092324561403509,0.8694955244199746,19.0
PRE_WEEKEND_PLUS_CIRCUIT,24,0.25,0.5416666666666666,0.5380430242272347,4.146491228070175,0.8638008563830812,22.0
QUALI_ONLY,24,0.6666666666666666,0.9583333333333334,0.6396512113617376,3.4528508771929824,0.9318881997681058,6.0
QUALI_PLUS_FORM,24,0.625,1.0,0.6449874686716791,3.4030701754385966,0.9150286793741115,21.0
FULL_STRICT_PRE_RACE,24,0.5416666666666666,1.0,0.6588241436925647,3.3195175438596496,0.921858717186424,31.0
POST_PRACTICE_FULL,24,0.7083333333333334,1.0,0.6632623224728488,3.29780701754386,0.9214526672595741,26.0
