model,n_races,top1,winner_top3,spearman,rank_mae,ndcg5
Grid baseline,24,0.6666666666666666,0.9583333333333334,0.6511173767752715,3.3442982456140355,0.9347028413855795
Ridge finish regression,24,0.6666666666666666,0.9583333333333334,0.6597639933166248,3.3359649122807014,0.9363257140205651
Random Forest finish regression,24,0.4583333333333333,0.875,0.6412071846282371,3.3984649122807014,0.9140640385900225
HistGradientBoosting finish regression,24,0.6666666666666666,0.9166666666666666,0.6344298245614035,3.4855263157894734,0.9141757417602386
XGBoost LambdaMART ranker,24,0.6666666666666666,0.9583333333333334,0.6396512113617376,3.4528508771929824,0.9318881997681058
