driver_id,driver_code,constructor_id,season,round,race_id,circuit_id,source,observed_at,cutoff_utc
albon,ALB,williams,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
alonso,ALO,aston_martin,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
antonelli,ANT,mercedes,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
arvid_lindblad,LIN,rb,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
bearman,BEA,haas,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
bortoleto,BOR,audi,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
bottas,BOT,cadillac,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
colapinto,COL,alpine,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
gasly,GAS,alpine,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
hadjar,HAD,red_bull,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
hamilton,HAM,ferrari,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
lawson,LAW,rb,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
leclerc,LEC,ferrari,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
max_verstappen,VER,red_bull,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
norris,NOR,mclaren,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
ocon,OCO,haas,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
perez,PER,cadillac,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
russell,RUS,mercedes,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
sainz,SAI,williams,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
stroll,STR,aston_martin,2026,2,2026_02,shanghai,previous_event_projection,2026-03-09 00:00:00+00:00,2026-03-12T19:00:00+00:00
alonso,ALO,aston_martin,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
antonelli,ANT,mercedes,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
arvid_lindblad,LIN,rb,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
bearman,BEA,haas,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
bottas,BOT,cadillac,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
colapinto,COL,alpine,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
gasly,GAS,alpine,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
hadjar,HAD,red_bull,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
hamilton,HAM,ferrari,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
hulkenberg,HUL,audi,2026,3,2026_03,suzuka,previous_event_projection,2026-03-16 00:00:00+00:00,2026-03-26T17:00:00+00:00
