model,n_races,top1,top1_ci_low,top1_ci_high,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier
calibrated_state_space,92.0,0.5217391304347826,0.42085697399836103,0.6208786177710441,0.75,0.731490709456158,0.6975512507414513,3.835678871090771,1.4338643196919612,0.03154583576574909
state_space,92.0,0.5217391304347826,0.42085697399836103,0.6208786177710441,0.75,0.731490709456158,0.6975512507414513,3.835678871090771,1.8254567045381875,0.038055876371646966
strength_mc,92.0,0.5,0.399898315069526,0.600101684930474,0.8043478260869565,0.7338654117104995,0.7065133908694617,3.7385583524027455,1.4514670598995338,0.032842575009963765
calibrated_championship,92.0,0.4891304347826087,0.3894871251542287,0.5896450789610689,0.8043478260869565,0.7233212289892603,0.6900639115001748,3.796395881006864,1.6759522883898614,0.03567883364286439
championship,92.0,0.4891304347826087,0.3894871251542287,0.5896450789610689,0.8043478260869565,0.7233212289892603,0.6900639115001748,3.796395881006864,,
form5,92.0,0.4673913043478261,0.36880117931256745,0.5685954330333247,0.7065217391304348,0.6939335470357838,0.6630276969967709,3.9795512331553518,,
last_race,92.0,0.40217391304347827,0.307849587905785,0.5043402491318915,0.6956521739130435,0.6697108108949783,0.5338141087274552,4.363927027714213,,
uniform,92.0,0.0,0.0,0.04008138930367956,0.0,0.042165909906595904,-0.03725765697935572,7.1156178489702535,2.9878966208549858,0.04786203354283667
