driver_id,driver_code,constructor_id,season,round,race_id,circuit_id,source,observed_at,cutoff_utc,team_effect,driver_effect,driver_obs_weight,is_rookie,strength,dnf_probability,strength_sd,win_probability,podium_probability,top10_probability,dnf_probability_sim,expected_finish,expected_finish_if_classified,pole_probability,finish_p10,finish_p50,finish_p90,pace_rank_score,win_probability_rank,predicted_rank,stage,evaluation_scope,practice_used,score,market_probability,implied_raw,overround,edge_pp,model_rank,market_rank,rank_disagreement
bortoleto,BOR,audi,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,0.0378066498023719,0.0269206714410923,12.13300725691943,False,0.0647273212434643,0.0882454264387655,0.0892089706348832,0.00018,0.00312,0.42316,0.0886,11.47989,10.73185209567698,0.00027,7,11,16,-10.73185209567698,12,12,PRE_WEEKEND,timestamped_snapshot,False,-10.73185209567698,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.14471835054655413,12.0,11.0,1.0
colapinto,COL,alpine,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,0.1029685935321512,-0.1327455132561251,12.450681865321668,False,-0.0297769197239739,0.0427983929738752,0.0873747846061093,0.00013,0.00225,0.39028,0.04319,11.47199,11.124706054493576,0.00016,8,11,15,-11.124706054493576,13,14,PRE_WEEKEND,timestamped_snapshot,False,-11.124706054493576,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.14971835054655414,13.0,11.0,2.0
hulkenberg,HUL,audi,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,0.0378066498023719,-0.0062762145737337,11.20778703343876,False,0.0315304352286382,0.2102838157472321,0.0950183161404873,0.00011,0.00268,0.33951,0.21107,12.69611,10.950768762754617,0.00028,8,12,20,-10.950768762754617,14,13,PRE_WEEKEND,timestamped_snapshot,False,-10.950768762754617,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.15171835054655414,14.0,11.0,3.0
bearman,BEA,haas,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-0.431378380291996,-0.1646828952208442,11.244103346633691,False,-0.5960612755128403,0.2189686688905277,0.0947760604614712,1e-05,0.0001,0.09193,0.21782,14.87012,13.532217648111688,1e-05,11,15,20,-13.532217648111688,15,15,PRE_WEEKEND,timestamped_snapshot,False,-13.532217648111688,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16171835054655412,15.0,11.0,4.0
ocon,OCO,haas,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-0.431378380291996,-0.220858849209784,11.876209701218336,False,-0.6522372295017801,0.130647284990956,0.0907489224146549,0.0,6e-05,0.09253,0.13152,14.4435,13.6529338614591,0.0,11,14,19,-13.6529338614591,16,16,PRE_WEEKEND,timestamped_snapshot,False,-13.6529338614591,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
sainz,SAI,williams,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-0.6377562726076516,-0.0506489211859483,11.847501144361589,False,-0.6884051937935999,0.1292175617149284,0.0909243910388698,0.0,3e-05,0.08516,0.12804,14.53226,13.774485068122392,0.0,11,14,19,-13.774485068122392,17,17,PRE_WEEKEND,timestamped_snapshot,False,-13.774485068122392,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
albon,ALB,williams,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-0.6377562726076516,-0.4383107955412621,11.15062956898598,False,-1.0760670681489135,0.2327841509657124,0.0954021157446452,0.0,1e-05,0.02307,0.23033,16.19572,15.050372237452414,0.0,13,16,20,-15.050372237452414,18,18,PRE_WEEKEND,timestamped_snapshot,False,-15.050372237452414,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
alonso,ALO,aston_martin,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-1.7588784531010535,-0.3156618700496233,10.755136630700186,False,-2.0745403231506767,0.3554066568205663,0.0981451537883619,0.0,0.0,0.00087,0.35499,18.54504,17.23692655927815,0.0,15,19,22,-17.23692655927815,19,19,PRE_WEEKEND,timestamped_snapshot,False,-17.23692655927815,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
perez,PER,cadillac,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-1.6513876086504464,-0.5332865144617566,9.735797462557455,False,-2.184674123112203,0.3575208187655682,0.1060004294170762,0.0,0.0,0.00063,0.35431,18.69844,17.41787854852948,0.0,16,19,22,-17.41787854852948,20,20,PRE_WEEKEND,timestamped_snapshot,False,-17.41787854852948,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
bottas,BOT,cadillac,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-1.6513876086504464,-0.6921226049966899,9.039387376094483,False,-2.343510213647136,0.4405617467985748,0.1121319513882053,0.0,0.0,0.00026,0.44117,19.32149,17.807293810282196,0.0,16,20,22,-17.807293810282196,21,21,PRE_WEEKEND,timestamped_snapshot,False,-17.807293810282196,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
stroll,STR,aston_martin,2026,14,2026_14,madring,previous_event_projection,2026-09-07 00:00:00+00:00,2026-09-11T01:00:00+00:00,-1.7588784531010535,-1.008586571642658,8.726362280698936,False,-2.767465024743712,0.5176911342590677,0.1151252168135756,0.0,0.0,7e-05,0.52116,20.17618,18.5343120875449,0.0,17,21,22,-18.5343120875449,22,22,PRE_WEEKEND,timestamped_snapshot,False,-18.5343120875449,0.0016271835054655413,0.001996007984031936,1.2266643419918843,-0.16271835054655412,16.0,11.0,5.0
