race_id,top1,winner_top3,winner_rank,spearman,rank_mae,ndcg5,n_entries,winner_logloss,winner_brier,model,circuit_source
2024_01,1.0,1.0,1.0,0.837593984962406,2.3,0.9473512398345234,20.0,0.3644191386721634,0.00567328275,strength_mc,inferred
2024_02,1.0,1.0,1.0,0.7667698658410733,3.8,0.9402683711198732,20.0,0.36773589129815726,0.005839570999999999,strength_mc,inferred
2024_03,0.0,0.0,4.0,0.556372549019608,4.947368421052632,0.5108123274667773,19.0,2.6429649544462754,0.06673341210526315,strength_mc,inferred
2024_04,1.0,1.0,1.0,0.9338235294117647,2.0,0.9388755862097978,20.0,0.67835709508731,0.014471823,strength_mc,inferred
2024_05,1.0,1.0,1.0,0.9240196078431374,2.8,0.9339092046216405,20.0,0.5589659990939256,0.01108715675,strength_mc,inferred
2024_06,0.0,0.0,5.0,0.7894736842105263,2.9,0.7304460031250662,20.0,3.336815122732887,0.06502062425,strength_mc,inferred
2024_07,1.0,1.0,1.0,0.7473684210526316,3.3,0.912519623570204,20.0,0.5864475619008895,0.011885897250000001,strength_mc,inferred
2024_08,0.0,1.0,2.0,0.8676470588235294,3.4,0.5199966198571524,20.0,1.9593500614220156,0.049524274,strength_mc,inferred
2024_09,1.0,1.0,1.0,0.8821428571428571,5.0,0.8207236354156459,20.0,0.6849806178935519,0.0150705625,strength_mc,inferred
2024_10,1.0,1.0,1.0,0.7909774436090224,3.0,0.8573291970546885,20.0,0.8648849438142551,0.019440566,strength_mc,inferred
2024_11,0.0,0.0,5.0,0.4451127819548871,4.4,0.35070510213503236,20.0,2.967144816702078,0.06039391824999999,strength_mc,inferred
2024_12,0.0,0.0,7.0,0.5273477812177503,4.526315789473684,0.4056439182092857,19.0,3.423442990609475,0.06568451394736843,strength_mc,inferred
2024_13,0.0,0.0,6.0,0.8578947368421052,2.1,0.25468414282615587,20.0,2.6671482097817845,0.0565484655,strength_mc,inferred
2024_14,0.0,0.0,6.0,0.5947368421052631,3.7,0.3031998623352895,20.0,2.636660205015537,0.05431351624999999,strength_mc,inferred
2024_15,0.0,1.0,2.0,0.8225563909774435,2.4,0.8645478846264829,20.0,1.8934600240543942,0.04525420775,strength_mc,inferred
2024_16,0.0,0.0,4.0,0.7964912280701755,3.2,0.5790184504438275,20.0,2.3996468058371767,0.05332536175,strength_mc,inferred
2024_17,0.0,1.0,3.0,0.5543859649122806,4.7,0.5445091440074905,20.0,1.9313664236144725,0.045623365,strength_mc,inferred
