race_id,model,temperature,n_races,last_training_index,objective
2025_22,calibrated_championship,0.47606683952034345,111,248.0,winner
2025_23,calibrated_championship,0.47788122789593335,112,249.0,winner
2025_24,calibrated_championship,0.47966585705664155,113,250.0,winner
2022_01,calibrated_last_race,0.7405741982653684,22,159.0,winner
2022_02,calibrated_last_race,0.7821404638333472,23,160.0,winner
2022_03,calibrated_last_race,0.8881748388934047,24,161.0,winner
2022_04,calibrated_last_race,0.8670808847785199,25,162.0,winner
2022_05,calibrated_last_race,0.9632009390081215,26,163.0,winner
2022_06,calibrated_last_race,0.9153009658110136,27,164.0,winner
2022_07,calibrated_last_race,0.8738867053881592,28,165.0,winner
2022_08,calibrated_last_race,0.8565468069247157,29,166.0,winner
2022_09,calibrated_last_race,0.8509072029400343,30,167.0,winner
2022_10,calibrated_last_race,0.8188809197743234,31,168.0,winner
2022_11,calibrated_last_race,0.8060921720627404,32,169.0,winner
2022_12,calibrated_last_race,0.809253932609818,33,170.0,winner
2022_13,calibrated_last_race,0.79767339197131,34,171.0,winner
2022_14,calibrated_last_race,0.7729513022541922,35,172.0,winner
2022_15,calibrated_last_race,0.7504905248703916,36,173.0,winner
2022_16,calibrated_last_race,0.7299794326255089,37,174.0,winner
2022_17,calibrated_last_race,0.7111608461492864,38,175.0,winner
2022_18,calibrated_last_race,0.7230841262686473,39,176.0,winner
2022_19,calibrated_last_race,0.7377830468837969,40,177.0,winner
2022_20,calibrated_last_race,0.7199190284738807,41,178.0,winner
2022_21,calibrated_last_race,0.703372498374688,42,179.0,winner
2022_22,calibrated_last_race,0.7076334986018897,43,180.0,winner
2023_01,calibrated_last_race,0.7182085226270046,44,181.0,winner
2023_02,calibrated_last_race,0.7028161078259947,45,182.0,winner
2023_03,calibrated_last_race,0.6977047770409415,46,183.0,winner
2023_04,calibrated_last_race,0.6928502054186991,47,184.0,winner
2023_05,calibrated_last_race,0.6998951360351581,48,185.0,winner
2023_06,calibrated_last_race,0.6951772377917818,49,186.0,winner
2023_07,calibrated_last_race,0.6822681217595645,50,187.0,winner
2023_08,calibrated_last_race,0.6701112462975425,51,188.0,winner
2023_09,calibrated_last_race,0.6586388078986198,52,189.0,winner
2023_10,calibrated_last_race,0.6477910535738253,53,190.0,winner
2023_11,calibrated_last_race,0.6375151129844631,54,191.0,winner
2023_12,calibrated_last_race,0.627764096829716,55,192.0,winner
2023_13,calibrated_last_race,0.6184952028190744,56,193.0,winner
2023_14,calibrated_last_race,0.6096728311024546,57,194.0,winner
2023_15,calibrated_last_race,0.6014193844546362,58,195.0,winner
2023_16,calibrated_last_race,0.6033384043159653,59,196.0,winner
2023_17,calibrated_last_race,0.6096454983448082,60,197.0,winner
2023_18,calibrated_last_race,0.6017930847783461,61,198.0,winner
2023_19,calibrated_last_race,0.5941320801000164,62,199.0,winner
2023_20,calibrated_last_race,0.5869316352983949,63,200.0,winner
2023_21,calibrated_last_race,0.5800226041265847,64,201.0,winner
2023_22,calibrated_last_race,0.5732580378298663,65,202.0,winner
2024_01,calibrated_last_race,0.566757183662,66,203.0,winner
2024_02,calibrated_last_race,0.5605053230144189,67,204.0,winner
2024_03,calibrated_last_race,0.5544869324336635,68,205.0,winner
2024_04,calibrated_last_race,0.5836415775549153,69,206.0,winner
2024_05,calibrated_last_race,0.6113957599789006,70,207.0,winner
2024_06,calibrated_last_race,0.6044700135878676,71,208.0,winner
2024_07,calibrated_last_race,0.6029237328536775,72,209.0,winner
2024_08,calibrated_last_race,0.6014251551599195,73,210.0,winner
2024_09,calibrated_last_race,0.602742543451823,74,211.0,winner
2024_10,calibrated_last_race,0.6092982944731655,75,212.0,winner
2024_11,calibrated_last_race,0.6028716920480407,76,213.0,winner
2024_12,calibrated_last_race,0.606121986720482,77,214.0,winner
2024_13,calibrated_last_race,0.6095424453448518,78,215.0,winner
2024_14,calibrated_last_race,0.6126564931061622,79,216.0,winner
2024_15,calibrated_last_race,0.6137537699377092,80,217.0,winner
2024_16,calibrated_last_race,0.6183637166449782,81,218.0,winner
2024_17,calibrated_last_race,0.6193748560672782,82,219.0,winner
2024_18,calibrated_last_race,0.6178217866173432,83,220.0,winner
2024_19,calibrated_last_race,0.62068596409707,84,221.0,winner
2024_20,calibrated_last_race,0.6250422124514186,85,222.0,winner
