model,n_races,top1,top1_ci_low,top1_ci_high,winner_top3,ndcg5,spearman,rank_mae,winner_logloss,winner_brier
corrected_practice,39.0,0.5128205128205128,0.3619936288121113,0.661348246732866,0.717948717948718,0.7263031929351884,0.7192047731580954,3.5676113360323884,1.6115627807617814,0.03482183013189756
calibrated_latent_strength,92.0,0.5,0.399898315069526,0.600101684930474,0.8043478260869565,0.7342066971389373,0.7064179636825686,3.739702517162472,1.4548925983899499,0.03260827399142328
plackett_luce,92.0,0.5,0.399898315069526,0.600101684930474,0.7934782608695652,0.730534719546194,0.7045687083141653,3.7485125858123576,1.978735889599413,0.040070592321065336
strength_mc,92.0,0.5,0.399898315069526,0.600101684930474,0.8043478260869565,0.7338654117104995,0.7065133908694617,3.7385583524027455,1.4514670598995338,0.032842575009963765
calibrated_championship,92.0,0.4891304347826087,0.3894871251542287,0.5896450789610689,0.8043478260869565,0.7233212289892603,0.6900639115001748,3.796395881006864,1.6759522883898614,0.03567883364286439
championship,92.0,0.4891304347826087,0.3894871251542287,0.5896450789610689,0.8043478260869565,0.7233212289892603,0.6900639115001748,3.796395881006864,,
form5,92.0,0.4673913043478261,0.36880117931256745,0.5685954330333247,0.7065217391304348,0.6939335470357838,0.6630276969967709,3.9795512331553518,,
calibrated_form5,92.0,0.4673913043478261,0.36880117931256745,0.5685954330333247,0.7065217391304348,0.6939335470357838,0.6630276969967709,3.9795512331553518,1.754508133293306,0.03759087129399672
practice_control,39.0,0.46153846153846156,0.31566885603683636,0.6143055173282316,0.7692307692307693,0.7140703865187458,0.6926437220793021,3.707962213225371,1.5192728520160317,0.03402573757718197
calibrated_last_race,92.0,0.40217391304347827,0.307849587905785,0.5043402491318915,0.6956521739130435,0.6697108108949783,0.5338141087274552,4.363927027714213,2.042672140630711,0.03940305651633307
last_race,92.0,0.40217391304347827,0.307849587905785,0.5043402491318915,0.6956521739130435,0.6697108108949783,0.5338141087274552,4.363927027714213,,
uniform,92.0,0.0,0.0,0.04008138930367956,0.0,0.042165909906595904,-0.03725765697935572,7.1156178489702535,2.9878966208549858,0.04786203354283667
