driver_code,model_probability,american_odds,source,retrieved,decimal_odds,implied_raw,overround,market_probability,expected_value,edge_vs_market_pp,kelly_fraction,stake
LAW,0.00883,15000,thespread.com 2026 Spanish GP outright winner board,2026-09-11,151.0,0.006622516556291391,1.2266643419918843,0.005398800902239975,0.3333299999999999,0.34311990977600243,0.002222199999999999,0.5555499999999997
RUS,0.19738,450,thespread.com 2026 Spanish GP outright winner board,2026-09-11,5.5,0.18181818181818182,1.2266643419918843,0.14822162477058842,0.08559000000000005,4.915837522941158,0.01901999999999999,4.754999999999997
HAM,0.13348,700,thespread.com 2026 Spanish GP outright winner board,2026-09-11,8.0,0.125,1.2266643419918843,0.10190236702977953,0.0678399999999999,3.1577632970220453,0.009691428571428557,2.4228571428571395
