driver_code,model_probability,american_odds,source,retrieved,decimal_odds,implied_raw,overround,market_probability,expected_value,edge_vs_market_pp,kelly_fraction
LAW,0.00883,15000,thespread.com 2026 Spanish GP outright winner board,2026-09-11,151.0,0.006622516556291391,1.2266643419918843,0.005398800902239975,0.3333299999999999,0.34311990977600243,0.002222199999999999
RUS,0.19738,450,thespread.com 2026 Spanish GP outright winner board,2026-09-11,5.5,0.18181818181818182,1.2266643419918843,0.14822162477058842,0.08559000000000005,4.915837522941158,0.01901999999999999
HAM,0.13348,700,thespread.com 2026 Spanish GP outright winner board,2026-09-11,8.0,0.125,1.2266643419918843,0.10190236702977953,0.0678399999999999,3.1577632970220453,0.009691428571428557
PIA,0.07909,1100,thespread.com 2026 Spanish GP outright winner board,2026-09-11,12.0,0.08333333333333333,1.2266643419918843,0.06793491135318636,-0.050920000000000076,1.1155088646813638,0.0
LEC,0.09321,800,thespread.com 2026 Spanish GP outright winner board,2026-09-11,9.0,0.1111111111111111,1.2266643419918843,0.09057988180424847,-0.16110999999999998,0.2630118195751527,0.0
ANT,0.27688,175,thespread.com 2026 Spanish GP outright winner board,2026-09-11,2.75,0.36363636363636365,1.2266643419918843,0.29644324954117685,-0.23858000000000001,-1.956324954117683,0.0
LIN,0.00184,40000,thespread.com 2026 Spanish GP outright winner board,2026-09-11,401.0,0.0024937655860349127,1.2266643419918843,0.0020329649282749035,-0.26215999999999995,-0.019296492827490346,0.0
VER,0.05943,1000,thespread.com 2026 Spanish GP outright winner board,2026-09-11,11.0,0.09090909090909091,1.2266643419918843,0.07411081238529421,-0.3462700000000001,-1.4680812385294215,0.0
NOR,0.14859,325,thespread.com 2026 Spanish GP outright winner board,2026-09-11,4.25,0.23529411764705882,1.2266643419918843,0.1918162202913497,-0.3684925,-4.322622029134971,0.0
GAS,0.00053,40000,thespread.com 2026 Spanish GP outright winner board,2026-09-11,401.0,0.0024937655860349127,1.2266643419918843,0.0020329649282749035,-0.78747,-0.15029649282749033,0.0
TSU,0.00031,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-0.8446899999999999,-0.13171835054655415,0.0
BOR,0.00018,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-0.90982,-0.14471835054655413,0.0
COL,0.00013,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-0.93487,-0.14971835054655414,0.0
HUL,0.00011,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-0.94489,-0.15171835054655414,0.0
BEA,1e-05,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-0.99499,-0.16171835054655412,0.0
OCO,0.0,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-1.0,-0.16271835054655412,0.0
SAI,0.0,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-1.0,-0.16271835054655412,0.0
ALB,0.0,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-1.0,-0.16271835054655412,0.0
ALO,0.0,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-1.0,-0.16271835054655412,0.0
PER,0.0,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-1.0,-0.16271835054655412,0.0
BOT,0.0,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-1.0,-0.16271835054655412,0.0
STR,0.0,50000,thespread.com: remaining drivers quoted at +50000,2026-09-11,501.0,0.001996007984031936,1.2266643419918843,0.0016271835054655413,-1.0,-0.16271835054655412,0.0
